Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),System Time,Alert Type (Audio/Text),Action,Description,
5773.69,2,8,2021-07-03 13:41:21,+27.07432,-82.43663,21,29.9,226.2,+5.9,13:41:20,AUDIO,PLAY,AOA_01_16,
5773.69,2,8,2021-07-03 13:41:21,+27.07432,-82.43663,21,29.9,226.2,+5.9,13:41:21,AUDIO,STOP,AOA_06_16,
5774.19,2,8,2021-07-03 13:41:21,+27.07427,-82.43668,22,29.5,225.8,+5.9,13:41:21,AUDIO,STOP,AOA_01_16,
6054.69,2,9,2021-07-03 13:46:02,+27.07555,-82.43513,21,40.4,224.9,+5.9,13:46:01,AUDIO,PLAY,AOA_03_16,
6054.69,2,9,2021-07-03 13:46:02,+27.07555,-82.43513,21,40.4,224.9,+5.9,13:46:01,AUDIO,STOP,AOA_01_16,
6055.19,2,9,2021-07-03 13:46:02,+27.07548,-82.43521,22,39.6,224.9,+5.9,13:46:02,AUDIO,STOP,AOA_03_16,
6057.69,2,9,2021-07-03 13:46:05,+27.07518,-82.43555,21,35.2,225.1,+5.9,13:46:04,AUDIO,PLAY,AOA_04_16,
6057.69,2,9,2021-07-03 13:46:05,+27.07518,-82.43555,21,35.2,225.1,+5.9,13:46:04,AUDIO,STOP,AOA_03_16,
6058.19,2,9,2021-07-03 13:46:05,+27.07513,-82.43562,20,34.8,224.4,+5.9,13:46:05,AUDIO,STOP,AOA_04_16,
6135.44,2,9,2021-07-03 13:47:22,+27.06257,-82.43312,569,96.3,55.2,+5.9,13:47:22,TEXT,SHOW,HDRTNK CONTACT HIGH,
6135.44,2,9,2021-07-03 13:47:22,+27.06257,-82.43312,569,96.3,55.2,+5.9,13:47:22,AUDIO,PLAY,EMS_GENERAL,
6135.44,2,9,2021-07-03 13:47:22,+27.06257,-82.43312,569,96.3,55.2,+5.9,13:47:22,AUDIO,PLAY,EMS_GENERAL,
6144.81,2,9,2021-07-03 13:47:32,+27.06544,-82.42965,565,99.8,44.9,+5.9,13:47:32,TEXT,HIDE,HDRTNK CONTACT HIGH,
6144.81,2,9,2021-07-03 13:47:32,+27.06544,-82.42965,565,99.8,44.9,+5.9,13:47:32,AUDIO,STOP,EMS_GENERAL,
6229.19,2,9,2021-07-03 13:48:56,+27.07469,-82.43613,24,39.9,226.2,+5.9,13:48:56,AUDIO,PLAY,AOA_01_16,
6229.19,2,9,2021-07-03 13:48:56,+27.07469,-82.43613,24,39.9,226.2,+5.9,13:48:56,AUDIO,STOP,AOA_04_16,
6229.69,2,9,2021-07-03 13:48:57,+27.07463,-82.43621,21,39.3,226.0,+5.9,13:48:56,AUDIO,PLAY,AOA_10_16,
6229.69,2,9,2021-07-03 13:48:57,+27.07463,-82.43621,21,39.3,226.0,+5.9,13:48:56,AUDIO,STOP,AOA_01_16,
6230.19,2,9,2021-07-03 13:48:57,+27.07457,-82.43629,21,38.6,225.9,+5.9,13:48:57,AUDIO,PLAY,AOA_07_16,
6230.19,2,9,2021-07-03 13:48:57,+27.07457,-82.43629,21,38.6,225.9,+5.9,13:48:57,AUDIO,STOP,AOA_10_16,
6230.69,2,9,2021-07-03 13:48:58,+27.07451,-82.43636,20,37.4,226.4,+5.9,13:48:57,AUDIO,STOP,AOA_07_16,
6232.69,2,9,2021-07-03 13:49:00,+27.07428,-82.43661,20,34.2,225.8,+5.9,13:48:59,AUDIO,PLAY,AOA_01_16,
6232.69,2,9,2021-07-03 13:49:00,+27.07428,-82.43661,20,34.2,225.8,+5.9,13:48:59,AUDIO,STOP,AOA_07_16,
6233.19,2,9,2021-07-03 13:49:00,+27.07422,-82.43668,20,33.5,226.1,+5.9,13:49:00,AUDIO,PLAY,AOA_04_16,
6233.19,2,9,2021-07-03 13:49:00,+27.07422,-82.43668,20,33.5,226.1,+5.9,13:49:00,AUDIO,STOP,AOA_01_16,
6233.69,2,9,2021-07-03 13:49:01,+27.07417,-82.43674,20,32.9,226.5,+5.9,13:49:00,AUDIO,STOP,AOA_04_16,
6498.75,2,9,2021-07-03 13:53:26,+27.07675,-82.44035,27,0.1,268.5,+5.9,13:53:26,TEXT,SHOW,BATT VOLTS LOW,
6498.75,2,9,2021-07-03 13:53:26,+27.07675,-82.44035,27,0.1,268.5,+5.9,13:53:26,AUDIO,PLAY,EMS_VOLTAGE,
6498.75,2,9,2021-07-03 13:53:26,+27.07675,-82.44035,27,0.1,268.5,+5.9,13:53:26,AUDIO,PLAY,EMS_VOLTAGE,
6499.75,2,9,2021-07-03 13:53:27,+27.07675,-82.44035,23,0.1,268.5,+5.9,13:53:27,TEXT,HIDE,BATT VOLTS LOW,
6499.75,2,9,2021-07-03 13:53:27,+27.07675,-82.44035,23,0.1,268.5,+5.9,13:53:27,AUDIO,STOP,EMS_VOLTAGE,
6507.75,2,9,2021-07-03 13:53:35,+27.07675,-82.44035,20,0.1,268.5,+5.9,13:53:35,TEXT,SHOW,BATT VOLTS LOW,
6507.75,2,9,2021-07-03 13:53:35,+27.07675,-82.44035,20,0.1,268.5,+5.9,13:53:35,AUDIO,PLAY,EMS_VOLTAGE,
6507.75,2,9,2021-07-03 13:53:35,+27.07675,-82.44035,20,0.1,268.5,+5.9,13:53:35,AUDIO,PLAY,EMS_VOLTAGE,
6513.75,2,9,2021-07-03 13:53:41,+27.07676,-82.44036,20,0.0,268.5,+5.9,13:53:41,TEXT,HIDE,BATT VOLTS LOW,
6513.75,2,9,2021-07-03 13:53:41,+27.07676,-82.44036,20,0.0,268.5,+5.9,13:53:41,AUDIO,STOP,EMS_VOLTAGE,
6525.75,2,9,2021-07-03 13:53:53,+27.07676,-82.44036,20,0.1,268.5,+5.9,13:53:53,TEXT,SHOW,BATT VOLTS LOW,
6525.75,2,9,2021-07-03 13:53:53,+27.07676,-82.44036,20,0.1,268.5,+5.9,13:53:53,AUDIO,PLAY,EMS_VOLTAGE,
6525.75,2,9,2021-07-03 13:53:53,+27.07676,-82.44036,20,0.1,268.5,+5.9,13:53:53,AUDIO,PLAY,EMS_VOLTAGE,
6525.81,2,9,2021-07-03 13:53:53,+27.07676,-82.44036,20,0.1,268.5,+5.9,13:53:53,TEXT,SHOW,OIL PRES LOW,
6525.81,2,9,2021-07-03 13:53:53,+27.07676,-82.44036,20,0.1,268.5,+5.9,13:53:53,AUDIO,PLAY,EMS_OIL_PRES,
6525.81,2,9,2021-07-03 13:53:53,+27.07676,-82.44036,20,0.1,268.5,+5.9,13:53:53,AUDIO,PLAY,EMS_OIL_PRES,
6534.62,2,9,2021-07-03 13:54:01,+27.07676,-82.44037,10,0.1,268.5,+5.9,13:54:01,TEXT,SHOW,alertROLL SERVO OFFLIN,
6534.62,2,9,2021-07-03 13:54:01,+27.07676,-82.44037,10,0.1,268.5,+5.9,13:54:01,AUDIO,PLAY,SYS_MESSAGE,
6534.62,2,9,2021-07-03 13:54:01,+27.07676,-82.44037,10,0.1,268.5,+5.9,13:54:01,TEXT,SHOW,alertPITCH SERVO OFFLI,
6534.62,2,9,2021-07-03 13:54:01,+27.07676,-82.44037,10,0.1,268.5,+5.9,13:54:01,AUDIO,PLAY,SYS_MESSAGE,
6534.62,2,9,2021-07-03 13:54:01,+27.07676,-82.44037,10,0.1,268.5,+5.9,13:54:01,TEXT,SHOW,alertCOM RADIO PANL OF,
